MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
CLUB CAR,16.92,6/11/2008
NAPA AUTO PARTS,55.46,6/11/2008
USPS 2524950107 QQQ,26.6,6/10/2008
GROSS ELECTRIC INC,34.8,6/10/2008
CARPENTER BROS HAR,10.59,6/10/2008
WW GRAINGER 236,803.59,6/10/2008
FEDEX KINKO'S #1781,32,6/10/2008
TARGET 00012856,30.94,6/10/2008
STAPLES 00103846,22.28,6/10/2008
MERRICK INDUSTRIES INC,1830.75,6/10/2008
SAMS,70.09,6/10/2008
ACTEVA.COM ONLINE EVEN,37.6,6/9/2008
ACTEVA.COM ONLINE EVEN,58.57,6/9/2008
ACTEVA.COM ONLINE EVEN,58.57,6/9/2008
ACTEVA.COM ONLINE EVEN,37.6,6/9/2008
DIAG PARTY SHOPPE,15.29,6/9/2008
DIAG PARTY SHOPPE,5.96,6/9/2008
VOGEL'S LOCK & SAFE,11.45,6/9/2008
CARPENTER BROS HAR,22.76,6/9/2008
LOWES #01750*,184.6,6/9/2008
WW GRAINGER 236,253,6/9/2008
TARGET 00012856,27.37,6/9/2008
THE HOME DEPOT 2721,10.57,6/9/2008
NAPA AUTO PARTS,41.97,6/9/2008
ARBOR VACUUM AND SMALL,516.95,6/7/2008
THE HOME DEPOT 2721,15.42,6/7/2008
GFS MKTPLC #0116,226.77,6/6/2008
GFS MKTPLC #0116,-21.57,6/6/2008
MICHIGAN MUNICIPAL LEA,220,6/6/2008
AKA*ADOLF KIEFER ASSOC,34.45,6/6/2008
JACK'S HARDWARE 08,13.58,6/6/2008
LOWES #00734*,346.44,6/6/2008
SPARTAN DISTRIBUTORS,44.08,6/6/2008
BEST BUY MHT 00004085,-525,6/6/2008
TARGET 00012856,16.48,6/6/2008
PARTY CITY #830,22.88,6/6/2008
JARDENSTORE COM,51.37,6/6/2008
TARGET 00012856,3.18,6/6/2008
TARGET 00012856,27.55,6/6/2008
THE HOME DEPOT 2721,22.5,6/6/2008
NAPA AUTO PARTS,6.72,6/6/2008
KMART 4105,56.97,6/5/2008
HY-TEK SPORTS SOFTWARE,181,6/5/2008
LOWES #00734*,195.65,6/5/2008
LOWES #00734*,619.08,6/5/2008
TURFGRASS INC.,1289.36,6/5/2008
STADIUM HARDWARE,14.98,6/5/2008
SPEARS FIRE & SAFETY I,53,6/5/2008
THE HOME DEPOT 2721,68.65,6/5/2008
THE HOME DEPOT 2721,-107.77,6/5/2008
PAYMENT,-7306.11,6/4/2008
15TH JUDICIAL DISTRICT,184.5,6/4/2008
HOWLETT LOCK AND DOOR,97.5,6/4/2008
VOGEL'S LOCK & SAFE,4.8,6/4/2008
KFC-J335-020,55.71,6/4/2008
USPS 2524950107 QQQ,41.68,6/4/2008
LESCO SC 4044,114.66,6/4/2008
EVIDENT INC,165,6/4/2008
TURFGRASS INC.,987,6/4/2008
MEIJER INC #027 Q01,69.98,6/4/2008
MEIJER INC #027 Q01,74.18,6/4/2008
MEIJER INC #027 Q01,-74.18,6/4/2008
PLYMOUTH EQUIPMENT REN,132.75,6/4/2008
THE HOME DEPOT 2721,158.95,6/4/2008
NAPA AUTO PARTS,70.1,6/4/2008
RETURN CHECK FEE,15,6/3/2008
PAYMENT REVERSAL RETURN W,7036.11,6/3/2008
MASTER TECH APPLIANCE,20.88,6/3/2008
USPS 2524950107 QQQ,25.2,6/3/2008
PRINTGLOBE INC,252.5,6/3/2008
TARGET 00012856,87.12,6/3/2008
GFS MKTPLC #0868,114.8,6/3/2008
TIRE WHOLESALERS,126.9,6/3/2008
TURFGRASS INC.,94.5,6/3/2008
MEIJER INC #64 Q01,44.16,6/3/2008
SPEARS FIRE & SAFETY I,176,6/3/2008
MICHAELS #2108,64.86,6/3/2008
MEIJER INC #027 Q01,12.77,6/3/2008
THE HOME DEPOT 2721,139.02,6/3/2008
NAPA AUTO PARTS,19.88,6/3/2008
LARRY'S MOWER SHOP INC,183.44,6/3/2008
FRANKENMUTH BAVARIAN,285,6/2/2008
TARGET 00003541,104.92,6/2/2008
JCPENNEY STORE 0819,99.95,6/2/2008
THE LIFEGUARD STORE,281,6/2/2008
JCPENNEY STORE 0819,95.95,6/2/2008
THE HOME DEPOT 2721,36.96,6/2/2008
STADIUM HARDWARE,3,6/2/2008
VOGEL'S LOCK & SAFE,55.5,6/2/2008
STADIUM HARDWARE,31.44,6/2/2008
KROGER #605,62.26,6/2/2008
RITZ CAMERA #142,6.83,6/2/2008
CLUB CAR,20.42,6/2/2008
LOWES #01750*,84.3,6/2/2008
AMAZON.COM,72.44,6/2/2008
IVG STORES,88,6/2/2008
CARPENTER BROS HAR,25.65,6/2/2008
SALES@CHROMA-KEY.COM,456.39,6/2/2008
RENAISSANCE HOTELS ST,625.56,6/1/2008
RENAISSANCE HOTELS ST,625.56,6/1/2008
RENAISSANCE HOTELS ST,625.56,6/1/2008
DUNHAMS SPORTS00000448,140.18,6/1/2008
AUTOMATIC PAYMENT,-7036.11,5/30/2008
15TH JUDICIAL DISTRICT,164.5,5/30/2008
LANDSENDBUSINESS,232.45,5/30/2008
GRATEFUL DYES,392.42,5/30/2008
LODI FARMS LTD,231,5/30/2008
THE PRODUCE STATIO,50.85,5/30/2008
DOWNTOWN HOME & GARDEN,94.59,5/30/2008
JUPITERIMAGES,219.95,5/30/2008
STADIUM HARDWARE,86.12,5/30/2008
HJ- COLLEGIATE DIVISIO,450.8,5/30/2008
GFS MKTPLC #0868,61.17,5/30/2008
NAPA AUTO PARTS,30.62,5/30/2008
JIMMY JOHNS #12 Q62,83.39,5/29/2008
ADRIANS TSHIRT PRINTER,912.1,5/29/2008
OFFICE MAX,33.95,5/29/2008
GFS MKTPLC #0868,12.12,5/29/2008
ARGYLE PUBLISHING,45,5/29/2008
RITZ CAMERA #142,8.54,5/29/2008
GROEB FARMS DBA THE MI,130,5/29/2008
TURFGRASS INC.,1550,5/29/2008
BSW,41.63,5/29/2008
FERGUSON ENT#933,64.96,5/29/2008
JIMMY JOHNS #12 Q62,124,5/28/2008
JIMMY JOHNS #12 Q62,124,5/28/2008
CLEARWATER POOLS AND S,82.99,5/28/2008
ARCTIC ORIGINALS INC.,594,5/28/2008
SIEMENS AIRFIELD SOLNS,435.73,5/28/2008
LOWES #01750*,-19.97,5/28/2008
LOWES #01750*,313.48,5/28/2008
AMZ*AMAZON PAYMENTS,153.6,5/28/2008
BEST BUY MHT 00004085,214.99,5/28/2008
BEST BUY MHT 00004085,17.99,5/28/2008
TROPHIES TOMORROW,33.5,5/28/2008
LOWES #00734*,5.51,5/28/2008
STADIUM HARDWARE,36.45,5/28/2008
OFFICE MAX,149.99,5/28/2008
DEXTER MILL,84.5,5/28/2008
BUSCH'S #1048,16.71,5/28/2008
BUSCH'S #1047,22.44,5/27/2008
ROBERTSON'S STRM/SCRN,21.08,5/27/2008
FEDEX KINKO'S #1781,25.44,5/27/2008
THE HOME DEPOT 2721,21.88,5/27/2008
CARPENTER BROS HAR,33.57,5/27/2008
GFS MKTPLC #0868,142.08,5/27/2008
TRACTOR-SUPPLY-CO #053,51.9,5/27/2008
WOLVERINE TRUCK SALES,73.71,5/27/2008
FULL AUTO LLC,1424,5/27/2008
THE HOME DEPOT 2703,100.57,5/26/2008
KMART 4105,105.96,5/26/2008
THE LIFEGUARD STORE,127.5,5/26/2008
LANDSENDBUSINESS,103,5/24/2008
PERFECT SWIM LLC,163.79,5/24/2008
STADIUM HARDWARE,5.67,5/24/2008
HYATT HOTELS SAN ANTON,602.69,5/23/2008
15TH JUDICIAL DISTRICT,277.5,5/23/2008
KOLOSSOS PRINTING INC,18,5/23/2008
HYATT HOTELS ATLANTA,1182.65,5/23/2008
ORIENTAL TRADING CO,216.31,5/23/2008
CARPENTER BROS HAR,41.05,5/23/2008
SUB CHEV CAD SAAB HUM,138,5/23/2008
CARPENTER BROS HAR,41.82,5/23/2008
BEST BLOCK COMPANY,58.17,5/23/2008
SPEARS FIRE & SAFETY I,20,5/23/2008
B & H PHOTO-VIDEO.COM,389.75,5/23/2008
KMART 4105,67.74,5/23/2008
KMART 4105,63.91,5/23/2008
KMART 4105,-67.74,5/23/2008
KROGER #605,21.75,5/23/2008
KOOLIT COOLERS,130.26,5/23/2008
BEST BLOCK COMPANY,133.9,5/22/2008
COMFORT SUITES,277.95,5/22/2008
LODI FARMS LTD,276.75,5/22/2008
VOGEL'S LOCK & SAFE,28.9,5/22/2008
STAPLES 00115642,13.29,5/22/2008
BEST BUY MHT 00004085,149.98,5/22/2008
BEST BUY MHT 00004085,684.98,5/22/2008
MURRAY'S #351100035113,8.98,5/22/2008
WASHTENAW CTY RGSTR DE,15,5/21/2008
MARGOLIS COMPANIES,126,5/21/2008
PAESANO'S RESTAURANT,24.09,5/21/2008
LANDSENDBUSINESS,-103,5/21/2008
WORLDPOINT ECC,397.25,5/21/2008
S&S WORLDWIDE,137.31,5/21/2008
FINANCIAL AND OFFICE S,137.92,5/21/2008
VOGEL'S LOCK & SAFE,8.75,5/21/2008
MURRAY'S #331700033175,49.74,5/21/2008
LOWES #00734*,18.42,5/21/2008
GFS MKTPLC #0868,92.71,5/21/2008
MICHIGAN LICENSED BEVE,250,5/21/2008
FEDEX KINKO'S #0842,37.74,5/20/2008
STADIUM HARDWARE,13.58,5/20/2008
STADIUM HARDWARE,27.35,5/20/2008
LOWES #00734*,108.62,5/20/2008
AUDIO-TECHNICA INC,72.99,5/20/2008
AFTERNOON DELIGHT,121.5,5/19/2008
GFS MKTPLC #0116,79.46,5/19/2008
NWA AIR 01221653588213,549,5/19/2008
NWA AIR 01221653588224,549,5/19/2008
BUSCH'S #1035,17.76,5/19/2008
CLEARWATER POOLS AND S,107.88,5/19/2008
LOWES #01750*,232.62,5/19/2008
THE ATLANTA LINK,16.5,5/17/2008
DOWNTOWN HOME & GARDEN,82.76,5/17/2008
DOWNTOWN HOME & GARDEN,120.42,5/17/2008
DOWNTOWN HOME & GARDEN,172.6,5/17/2008
JACK'S HARDWARE 08,12.69,5/17/2008
GARDNER WHITE FURNITUR,249.99,5/16/2008
MARGOLIS COMPANIES,216,5/16/2008
REAL SEAFOOD CO,72.75,5/16/2008
FEDEX KINKO'S #0842,149,5/16/2008
VOGEL'S LOCK & SAFE,20.3,5/16/2008
ACE BARNES HARDWARE,48.82,5/16/2008
STADIUM TROPHY,23,5/16/2008
OFFICE DEPOT #1091,40.61,5/16/2008
BUSCH'S #1048,6.18,5/16/2008
DUNHAMS SPORTS00000265,131.96,5/15/2008
LODI FARMS LTD,103.5,5/15/2008
STADIUM HARDWARE,120.47,5/15/2008
CHRISTENSENS RUSHTON F,177.82,5/15/2008
SHUTTERSTOCK.COM,298,5/15/2008
STADIUM HARDWARE,39.3,5/15/2008
BEST BUY MHT 00004085,224.97,5/15/2008
B & H PHOTO-VIDEO.COM,77.55,5/15/2008
ASTRO TRUCK ACCESSORIE,1243,5/15/2008
BEST BLOCK COMPANY,2147.01,5/14/2008
CABELAS.COM*99283159,59.25,5/14/2008
TARGET 00003541,210.41,5/14/2008
DOWNTOWN HOME & GARDEN,206.3,5/14/2008
FASTENAL CO-RETAIL,164.32,5/14/2008
GROWING FOR MARKET,33,5/14/2008
GENE MICHAEL PRODUCTIO,925,5/14/2008
BEST BUY MHT 00004085,1119.96,5/14/2008
PEOPLE'S FOOD COOP,15.93,5/13/2008
AHMOS GYROS AND DELI,260.7,5/13/2008
FASTENAL CO-RETAIL,4.26,5/13/2008
WASHTENAW CTY RGSTR DE,15,5/12/2008
ARBOR BREWING COMPANY,29,5/12/2008
USPS 2502819551 QQQ,5.95,5/12/2008
RUBBER STAMPS UNLTD,23.53,5/12/2008
MARKERTEK VIDEO SUPPLY,78.88,5/12/2008
DBC*BLICK ART MATERIAL,72.26,5/10/2008
EXECUTIVECOMMUNICATION,252.19,5/9/2008
SPEARS FIRE & SAFETY I,14,5/9/2008
15TH JUDICIAL DISTRICT,212.5,5/8/2008
AMZ*AMAZON PAYMENTS,7.49,5/8/2008
AMZ*AMAZON PAYMENTS,6.94,5/8/2008
AMZ*AMAZON PAYMENTS,6.58,5/8/2008
AMZ*AMAZON PAYMENTS,10.78,5/8/2008
AMZ*AMAZON PAYMENTS,7.28,5/8/2008
AMZ*AMAZON PAYMENTS,4.33,5/8/2008
AMZ*AMAZON PAYMENTS,7.94,5/8/2008
AMZ*AMAZON PAYMENTS,5.99,5/8/2008
AMZ*AMAZON PAYMENTS,4.99,5/8/2008
CARPENTER BROS HAR,57.83,5/8/2008
HOLLANDERS,15.85,5/8/2008
BEST WESTERN HOTELS,87.98,5/7/2008
BEST WESTERN HOTELS,87.98,5/7/2008
FASTENAL CO-RETAIL,74.5,5/7/2008
BEST WESTERN HOTELS,87.98,5/6/2008
USPS 2599769550 QQQ,22.14,5/6/2008
USPS 2524950107 QQQ,41,5/6/2008
MEIJER INC #64 Q01,50.16,5/5/2008
PURCHASE FINANCE CHARGE,2.98,5/5/2008
PIZZA HOUSE,133.28,5/5/2008
TARGET 00012856,17.41,5/5/2008
BEST BUY MHT 00004085,999.98,5/5/2008
FINGERLE LUMBER CO SAL,33.49,5/5/2008
BELLO VINO FINE FOODS,22.36,5/3/2008
BELLO VINO FINE FOODS,14.6,5/3/2008
USPS 2524950107 QQQ,8.2,5/3/2008
PMI*PROJECT MGMT INST,35.9,5/2/2008
VILLAGE KITCHEN,12.59,5/2/2008
PAYMENT REVERSAL - RETURN,665.72,5/1/2008
PANERA BREAD #878 Q53,35.97,5/1/2008
DRI*NATURALREADER ENTE,99.5,5/1/2008
LANDSENDBUSINESS,-39.78,5/1/2008
MD BAGEL FRAGEL LLC,103.5,4/30/2008
AUTOMATIC PAYMENT,-665.72,4/29/2008
WASHTENAW CTY RGSTR DE,105,4/29/2008
DIAG PARTY SHOPPE,47.05,4/28/2008
BUSCH'S #1047,13.17,4/28/2008
VOGEL'S LOCK & SAFE,9.6,4/28/2008
FINGERLE LUMBER CO SAL,14.27,4/26/2008
KOLOSSOS PRINTING INC,85,4/25/2008
KOLOSSOS PRINTING INC,-36,4/25/2008
THE COMFORT INN,357,4/25/2008
SIGN*A*RAMA,1200,4/25/2008
15TH JUDICIAL DISTRICT,50.5,4/24/2008
ACTEVA.COM ONLINE EVEN,50,4/24/2008
ACTEVA.COM ONLINE EVEN,50,4/24/2008
ALRO STEEL CORPORATION,37.7,4/24/2008
AMZ*BORDERS,65.38,4/24/2008
RUBBER STAMPS UNLTD,7.72,4/23/2008
RUBBER STAMPS UNLTD,7.73,4/23/2008
TC *G.NEIL,265.01,4/23/2008
HAPPY WOK,34.72,4/23/2008
NASH NURSERIES,139.85,4/23/2008
DIAG PARTY SHOPPE,41.04,4/22/2008
FASTENAL CO-RETAIL,88.97,4/22/2008
IZZY'S HOAGIE SHOP,82,4/22/2008
IZZY'S HOAGIE SHOP,9,4/22/2008
15TH JUDICIAL DISTRICT,20,4/21/2008
15TH JUDICIAL DISTRICT,20,4/21/2008
THE BROKEN EGG,17.02,4/21/2008
LANDSENDBUSINESS,213.6,4/19/2008
LANDSENDBUSINESS,145.78,4/19/2008
LANDSENDBUSINESS,92.02,4/19/2008
LANDSENDBUSINESS,211.55,4/19/2008
FASTENAL CO-RETAIL,34.22,4/18/2008
SEARS ROEBUCK 1390,294.06,4/18/2008
WW GRAINGER 938,323.54,4/18/2008
KROGER #605 SL9,157.68,4/17/2008
INSTANT IMPRINTS,28.62,4/17/2008
CARPENTER BROS HAR,123.27,4/17/2008
WW GRAINGER 236,99.06,4/17/2008
PAESANO'S RESTAURANT,23.09,4/16/2008
BIG GEORGES,507.99,4/15/2008
TEKGEAR HOME & OFFICE,28.5,4/15/2008
FINGERLE LUMBER CO SAL,100,4/14/2008
ANN ARBOR WELDING SUPP,99.75,4/14/2008
TARGET 00012856,5.88,4/13/2008
KOLOSSOS PRINTING INC,114,4/11/2008
LARRY'S MOWER SHOP INC,359.95,4/11/2008
SPEARS FIRE & SAFETY I,52,4/11/2008
AFTERNOON DELIGHT,139.5,4/7/2008
D J*WALL STREET JOURNA,99,4/4/2008
HAR*HARVARD BUSNS REV,99,4/2/2008
IIA/CPCU INSTITUTE,150.48,4/2/2008
DEBIT TO PURCHASE BALANCE,350,3/28/2008
PARK-N-GO,41.25,3/23/2008
OFFICE MAX,24.99,3/7/2008
MADISON ELEC A ARBR,54.78,5/11/2010
LOWES #00734*,22.57,5/11/2010
LOWES #00734*,5.82,5/18/2010
FERGUSON ENT#933,325.32,5/18/2010
GEMPLER*1015407784,37.9,5/5/2010
THE HOME DEPOT 2721,524.56,5/6/2010
PYGMY BOATS INC,46.2,5/7/2010
NIVEL PARTS & MANUFACT,433.91,5/12/2010
THE TORO COMPANY,500,5/12/2010
CARPENTER BROS HAR,21.98,5/13/2010
TURFGRASS INC,810,5/17/2010
ZEE MEDICAL 07355142,339.99,5/17/2010
AMERIGAS PROPANE #5318,-1010.05,5/18/2010
LOWES #00734*,34.74,5/19/2010
NEW LAWN SOD FARM INC,67,5/19/2010
LODI FARMS LTD,504,5/19/2010
CARQUEST 01061274,18.83,5/19/2010
NEW LAWN SOD FARM INC,72,5/20/2010
NIVEL PARTS & MANUFACT,120.22,5/20/2010
TURFGRASS INC,978.5,5/20/2010
WILDTYPE PLANTS & SE,729.75,5/21/2010
TURFGRASS INC,183,5/21/2010
CARPENTER BROS HAR,55.33,5/24/2010
JCPENNEY CATLG 9811,66.94,5/25/2010
TURFGRASS INC,90,5/27/2010
TURFGRASS INC,331,5/27/2010
COMPUTER GEEKS,113.5,5/21/2010
USAMILITARYMEDALS COM,68.14,5/24/2010
S&S WORLDWIDE,135.36,5/24/2010
S&S WORLDWIDE,42.99,5/28/2010
EXXONMOBIL 97338QPS,30,5/4/2010
HOLIDAY INN G.R DNTN,177.12,5/6/2010
DRAKE KRYTERION INC,75,5/4/2010
ICMA INTERNET,50,5/12/2010
AFTERNOON DELIGHT,243.5,5/14/2010
PAESANO'S RESTAURANT,19.11,5/19/2010
WASHTENAW CTY RGSTR DE,35,5/4/2010
WASHTENAW CTY BAR ASSO,55,5/4/2010
WASHTENAW CTY BAR ASSO,25,5/6/2010
WASHTENAW CTY BAR ASSO,110,5/6/2010
COURT SERVICES,150,5/12/2010
WASHTENAW CTY RGSTR DE,32,5/18/2010
COURT SERVICES,150,5/20/2010
WASHTENAW CTY BAR ASSO,-55,5/21/2010
WASHTENAW CTY RGSTR DE,44,5/24/2010
WASHTENAW CTY RGSTR DE,14,5/24/2010
MICHIGAN ASSOC OF PLAN,60,5/11/2010
COURT SERVICES,2,5/25/2010
WASHTENAW CTY RGSTR DE,32,5/27/2010
VWR INTERNATIONAL INC,113.63,5/12/2010
VWR INTERNATIONAL INC,113.63,5/12/2010
ENVIRONMENTAL RESOURCE,100.75,5/12/2010
ENVIRONMENTAL RESOURCE,1005.05,5/12/2010
VWR INTERNATIONAL INC,48.91,5/15/2010
VWR INTERNATIONAL INC,48.91,5/15/2010
MEIJER INC #173 Q01,14.9,5/25/2010
FISHER SCI CHI,709.56,6/2/2010
AMERINET OF MICHIGAN,1948.15,5/10/2010
FOTO 1 IMAGING,-139.8,5/5/2010
RECYCLE ANN ARBOR DOS,44.5,5/5/2010
STAPLES 00104059,69.99,5/9/2010
INTUIT *18004INTUIT,225,5/16/2010
ARBOR BREWING COMPANY,68.95,5/20/2010
LOWES #01614*,46.7,5/24/2010
PARKING & TRANS SERVIC,195,5/6/2010
DELTA 00621779775105,253.4,5/13/2010
DELTA 00607619760915,20,5/13/2010
CA BCKGRND INVSTGTRS A,225,5/17/2010
GRAND TRAV RESORT & SP,173.26,5/21/2010
GRAND TRAV RESORT & SP,173.26,5/21/2010
PUBLIC AGENCY TRAINING,250,5/24/2010
PUBLIC AGENCY TRAINING,250,5/24/2010
LOWES #01750*,70.41,6/3/2010
AMAZON MKTPLACE PMTS,159.5,5/14/2010
A-1 RENTAL INC,110,5/13/2010
ROBBINS SPORTS,156.05,5/14/2010
AMERICAN RED CROSS,275,5/14/2010
SWIMOUTLET.COM,413.45,5/14/2010
SWIMOUTLET.COM,566.05,5/14/2010
AKA*ADOLF KIEFER ASSOC,967.78,5/18/2010
THE PRODUCE STATIO,147.84,6/1/2010
TARGET 00012856,26.9,6/2/2010
PEOPLE'S FOOD COOP,33.81,5/5/2010
TURNERS GREENSCAPE LTD,171,5/6/2010
STAPLES 00115642,26.77,5/7/2010
KMART 4105,45.16,5/7/2010
DOWNTOWN HOME & GARDEN,134.9,5/12/2010
ARBOR PHOTO LAB,13.25,5/13/2010
LODI FARMS LTD,127.2,5/14/2010
DOWNTOWN HOME & GARDEN,11.2,5/15/2010
DOWNTOWN HOME & GARDEN,27.83,5/15/2010
DR. DON'S BUTTONS,92.31,5/17/2010
MOSQUITO CURTAINS INC.,153.86,5/20/2010
DOWNTOWN HOME & GARDEN,135.42,5/21/2010
OFFICE MAX,129.99,5/25/2010
HP DIRECT - SMB,263.94,5/28/2010
DOWNTOWN HOME & GARDEN,22.95,5/27/2010
PEOPLE'S FOOD COOP,103.61,5/27/2010
ANN ARBOR MAIL SHOPPE,15.3,6/1/2010
OFFICE MAX,-129.99,6/2/2010
SWIMOUTLET.COM,997.95,5/25/2010
PAINTERS SUPPLY AND,194.79,5/28/2010
LOWES #01750*,176.12,5/6/2010
STADIUM HARDWARE,59.93,5/6/2010
STADIUM HARDWARE,11.98,5/11/2010
TARGET 00003541,79.98,5/14/2010
TARGET 00024158,239.75,5/14/2010
LOWES #00768*,59.97,5/15/2010
STADIUM HARDWARE,47.92,5/15/2010
VOGEL'S LOCK & SAFE,51,5/25/2010
TARGET 00024158,41.45,5/28/2010
AKA*ADOLF KIEFER ASSOC,99.95,6/3/2010
ENERGY OUTLET,20,6/3/2010
OFFICE MAX,33.26,5/4/2010
ACE BARNES HARDWARE IN,29.28,5/7/2010
ACE BARNES HARDWARE IN,12.78,5/7/2010
PEOPLE'S FOOD COOP,24.21,5/29/2010
PEOPLE'S FOOD COOP,21.95,5/30/2010
KNUTSONS RECREATIONAL,72.25,5/4/2010
COTTAGE INN PIZZA - BR,92,5/5/2010
HARDWARE DISTRIBUTORS,87.82,5/7/2010
ZINGERMAN'S BAKEHOUSE,41.6,5/11/2010
UNDERGROUND PRINTING,225,5/13/2010
UNDERGROUND PRINTING,200,5/13/2010
BLACK DIAMOND GS COUNC,77,5/12/2010
ACE BARNES HARDWARE,176.29,5/16/2010
ACE BARNES HARDWARE,-176.29,5/16/2010
ACE BARNES HARDWARE,-166.31,5/16/2010
KNIGHT'S MARKET,3.29,5/17/2010
ZINGERMANSCOFFEECOWHSL,41.47,5/18/2010
ZINGERMAN'S BAKEHOUSE,51,5/18/2010
ZINGERMAN'S BAKEHOUSE,131.8,5/25/2010
ZINGERMANSCOFFEECOWHSL,267.19,5/27/2010
CARPENTER BROS HAR,20.28,6/3/2010
SPEEDWAY 08721 BIR,20,5/15/2010
MADISON ELEC A ARBR,25.52,5/17/2010
SHERWIN WILLIAMS #1184,415.31,5/18/2010
SHERWIN WILLIAMS #1184,36.59,5/18/2010
SHERWIN WILLIAMS #1184,155.79,5/21/2010
OREILLY AUTO 00033290,31.75,5/21/2010
MAYNARD BATTERY,69.9,5/25/2010
ESRI INC,245,6/2/2010
ESRI INC,245,6/2/2010
CASCADE ENGINEERING,194.8,5/5/2010
CASCADE ENGINEERING,194.8,5/5/2010
LOWES #00734*,44,5/11/2010
SCHOOL TECH INC,117.9,5/17/2010
SCHOOL TECH INC,235.8,5/26/2010
DEXTER MILL,234.44,5/7/2010
TARGET 00006346,25.58,5/10/2010
TARGET 00006346,93.42,5/21/2010
TARGET 00012856,-74.97,6/2/2010
AMERINET OF MICHIGAN,182.52,5/20/2010
AMERINET OF MICHIGAN,1136.74,5/20/2010
STAPLES 00103846,55.77,5/11/2010
BARON BARCLAY LLC,112.72,5/13/2010
COFFEE MAKERS ETC,548.68,5/14/2010
SUNCOAST IDENTIFICATIO,540,5/19/2010
STAPLES 00103846,18.79,5/25/2010
GFS MKTPLC #0868 QPS,95.85,6/1/2010
NAPA AUTO PARTS,58.3,5/21/2010
LOGICKEYBOARDBSP EURO,111.75,5/5/2010
O'REILLY MEDIA,4.99,5/7/2010
CDW GOVERNMENT,116.68,5/7/2010
SPECTER INSTRUMENTS,1261.61,5/18/2010
CDW GOVERNMENT,67.43,5/24/2010
CDW GOVERNMENT,77.47,5/26/2010
CDW GOVERNMENT,1487.71,5/26/2010
LOWES #01750*,159,5/4/2010
THE BILCO COMPANY,205.8,5/7/2010
GLOBAL DATA SPECIALIST,67,5/19/2010
MAIN ST AMOCO QPS,7.56,5/27/2010
SPEEDWAY 08707 ANN QAE,16.9,6/3/2010
STADIUM HARDWARE,74.36,5/3/2010
THE HOME DEPOT 2721,39.64,5/5/2010
GFS MKTPLC #0868 QPS,46.34,5/10/2010
NAPA AUTO PARTS,98.4,5/11/2010
NAPA AUTO PARTS,46.07,5/11/2010
THE HOME DEPOT 2721,114.72,5/11/2010
TRI TURF,1750,5/13/2010
THE HOME DEPOT 2721,185.43,5/14/2010
THE HOME DEPOT 2721,62.99,5/14/2010
THE HOME DEPOT 2721,41.28,5/17/2010
NAPA AUTO PARTS,55.68,5/18/2010
NAPA AUTO PARTS,32.99,5/25/2010
TRI TURF,168.75,6/1/2010
MADISON ELEC A ARBR,68.89,5/5/2010
FINGERLE LUMBER CO,45.92,5/7/2010
WOLVERINE RENTAL AND S,30,5/7/2010
ANN ARBOR DOOR CLOSER,7.5,5/7/2010
WOLVERINE RENTAL AND S,50,5/13/2010
CHARLIES SEWER AND DRA,300,5/14/2010
STADIUM HARDWARE,6.49,5/15/2010
CHARLIES SEWER AND DRA,300,5/14/2010
CHARLIES SEWER AND DRA,-300,5/14/2010
WOLVERINE RENTAL AND S,-25,5/14/2010
NAPA AUTO PARTS,16.86,5/28/2010
BRIDGEWATER TIRE CO. I,18,5/28/2010
MADISON ELEC A ARBR,25,6/3/2010
CHELSEA LUMBER CO.,42.36,6/3/2010
STADIUM HARDWARE,28.99,5/5/2010
MCNAUGHTON MCKAY ELEC,18.75,5/5/2010
AMERINET OF MICHIGAN,1136.73,5/20/2010
FOX TENT AND AWNING CO,35,6/2/2010
GENCO BOOT SHOP,130,5/22/2010
FINGERLE LUMBER CO,23.5,6/3/2010
EL BURRITO LOCO MEXICA,10.59,5/4/2010
COUNTRY INN & SUITES,70.2,5/5/2010
EL BURRITO LOCO MEXICA,10.59,5/11/2010
COUNTRY INN & SUITES,70.2,5/12/2010
EL BURRITO LOCO MEXICA,10.59,5/18/2010
COUNTRY INN & SUITES,70.2,5/19/2010
KFC/LONG JOHN SILVEQ30,8.68,5/25/2010
COUNTRY INN & SUITES,70.2,5/26/2010
KFC/LONG JOHN SILVEQ30,8.69,6/1/2010
COUNTRY INN & SUITES,70.2,6/2/2010
ELECTRIC TOOL,15.4,5/3/2010
J E MYLES INC,17.34,5/5/2010
KROGER #790 Q66,18.2,5/10/2010
AIS CONSTRUCTION EQUIP,132.1,5/10/2010
AIS CONSTRUCTION EQUIP,391.03,5/10/2010
PLANO POWER EQUIPMENT,-23.85,5/12/2010
AGRI SUPPLY COMPANY #1,105.94,5/14/2010
FINGERLE LUMBER CO,31.24,5/20/2010
AIS CONSTRUCTION EQUIP,906.49,5/27/2010
LA CROSSE BRUSH INC,249.07,5/27/2010
ALL AMERICAN CLOTHING,605.43,5/6/2010
ALL AMERICAN CLOTHING,403.62,5/6/2010
INTERNATIONAL MUNICIPA,92,5/10/2010
SUNRISE SCREEN PRINTIN,236.52,5/26/2010
SUNRISE SCREEN PRINTIN,157.68,5/26/2010
BUSCH'S #1035,63.96,5/27/2010
STADIUM HARDWARE,126.97,5/19/2010
FINGERLE LUMBER CO,113.31,5/5/2010
